[2025-01-24T23:14:17.136+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-24T23:14:17.155+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: pull_gazettes_data.preprocess_documents_task manual__2025-01-24T23:12:54.176269+00:00 [queued]>
[2025-01-24T23:14:17.165+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: pull_gazettes_data.preprocess_documents_task manual__2025-01-24T23:12:54.176269+00:00 [queued]>
[2025-01-24T23:14:17.165+0000] {taskinstance.py:2865} INFO - Starting attempt 2 of 3
[2025-01-24T23:14:17.182+0000] {taskinstance.py:2888} INFO - Executing <Task(PreprocessDocuments): preprocess_documents_task> on 2025-01-24 23:12:54.176269+00:00
[2025-01-24T23:14:17.203+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=560) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-01-24T23:14:17.427+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-27-27.pdf already broken down into
[2025-01-24T23:14:17.427+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-28-28.pdf already broken down into
[2025-01-24T23:14:17.428+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-29-29.pdf already broken down into
[2025-01-24T23:14:17.428+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-30-30.pdf already broken down into
[2025-01-24T23:14:17.429+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-31-31.pdf already broken down into
[2025-01-24T23:14:17.429+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-32-32.pdf already broken down into
[2025-01-24T23:14:17.431+0000] {logging_mixin.py:190} INFO - Breaking down pdf 3106200_2024-11-27_7141.pdf into multiple PDF single pages
[2025-01-24T23:14:17.506+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-0-0.pdf already broken down into
[2025-01-24T23:14:17.506+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-1-1.pdf already broken down into
[2025-01-24T23:14:17.507+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-2-2.pdf already broken down into
[2025-01-24T23:14:17.508+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-3-3.pdf already broken down into
[2025-01-24T23:14:17.508+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-4-4.pdf already broken down into
[2025-01-24T23:14:17.509+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-5-5.pdf already broken down into
[2025-01-24T23:14:17.509+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-6-6.pdf already broken down into
[2025-01-24T23:14:17.510+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-7-7.pdf already broken down into
[2025-01-24T23:14:17.510+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-8-8.pdf already broken down into
[2025-01-24T23:14:17.511+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-9-9.pdf already broken down into
[2025-01-24T23:14:17.511+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-10-10.pdf already broken down into
[2025-01-24T23:14:17.512+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-11-11.pdf already broken down into
[2025-01-24T23:14:17.512+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-12-12.pdf already broken down into
[2025-01-24T23:14:17.513+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-13-13.pdf already broken down into
[2025-01-24T23:14:17.513+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-14-14.pdf already broken down into
[2025-01-24T23:14:17.514+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-15-15.pdf already broken down into
[2025-01-24T23:14:17.515+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-16-16.pdf already broken down into
[2025-01-24T23:14:17.515+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-17-17.pdf already broken down into
[2025-01-24T23:14:17.516+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-18-18.pdf already broken down into
[2025-01-24T23:14:17.517+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-19-19.pdf already broken down into
[2025-01-24T23:14:17.518+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-20-20.pdf already broken down into
[2025-01-24T23:14:17.519+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-21-21.pdf already broken down into
[2025-01-24T23:14:17.519+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-22-22.pdf already broken down into
[2025-01-24T23:14:17.520+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-23-23.pdf already broken down into
[2025-01-24T23:14:17.520+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-24-24.pdf already broken down into
[2025-01-24T23:14:17.521+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-25-25.pdf already broken down into
[2025-01-24T23:14:17.521+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-26-26.pdf already broken down into
[2025-01-24T23:14:17.522+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-27-27.pdf already broken down into
[2025-01-24T23:14:17.523+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-28-28.pdf already broken down into
[2025-01-24T23:14:17.523+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-29-29.pdf already broken down into
[2025-01-24T23:14:17.524+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-30-30.pdf already broken down into
[2025-01-24T23:14:17.524+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-31-31.pdf already broken down into
[2025-01-24T23:14:17.525+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-32-32.pdf already broken down into
[2025-01-24T23:14:17.526+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-33-33.pdf already broken down into
[2025-01-24T23:14:17.526+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-34-34.pdf already broken down into
[2025-01-24T23:14:17.527+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-35-35.pdf already broken down into
[2025-01-24T23:14:17.527+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-36-36.pdf already broken down into
[2025-01-24T23:14:17.529+0000] {logging_mixin.py:190} INFO - Breaking down pdf 3106200_2024-11-28_7142.pdf into multiple PDF single pages
[2025-01-24T23:14:17.599+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-0-0.pdf already broken down into
[2025-01-24T23:14:17.600+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-1-1.pdf already broken down into
