[2025-01-24T22:33:34.944+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-24T22:33:34.958+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: pull_gazettes_data.preprocess_documents_task manual__2025-01-24T21:10:42.449118+00:00 [queued]>
[2025-01-24T22:33:34.964+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: pull_gazettes_data.preprocess_documents_task manual__2025-01-24T21:10:42.449118+00:00 [queued]>
[2025-01-24T22:33:34.965+0000] {taskinstance.py:2865} INFO - Starting attempt 16 of 16
[2025-01-24T22:33:34.976+0000] {taskinstance.py:2888} INFO - Executing <Task(PreprocessDocuments): preprocess_documents_task> on 2025-01-24 21:10:42.449118+00:00
[2025-01-24T22:33:34.988+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=4051) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-01-24T22:33:34.990+0000] {standard_task_runner.py:72} INFO - Started process 4082 to run task
[2025-01-24T22:33:34.990+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'pull_gazettes_data', 'preprocess_documents_task', 'manual__2025-01-24T21:10:42.449118+00:00', '--job-id', '28', '--raw', '--subdir', 'DAGS_FOLDER/dag_script.py', '--cfg-path', '/tmp/tmpupejfm5u']
[2025-01-24T22:33:34.992+0000] {standard_task_runner.py:105} INFO - Job 28: Subtask preprocess_documents_task
[2025-01-24T22:33:35.035+0000] {task_command.py:467} INFO - Running <TaskInstance: pull_gazettes_data.preprocess_documents_task manual__2025-01-24T21:10:42.449118+00:00 [running]> on host 9e85c216a3c8
[2025-01-24T22:33:35.107+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='***@example.com' AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='pull_gazettes_data' AIRFLOW_CTX_TASK_ID='preprocess_documents_task' AIRFLOW_CTX_EXECUTION_DATE='2025-01-24T21:10:42.449118+00:00' AIRFLOW_CTX_TRY_NUMBER='16' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-01-24T21:10:42.449118+00:00'
[2025-01-24T22:33:35.108+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-01-24T22:33:35.125+0000] {logging_mixin.py:190} INFO - Checking pre processed documents log
[2025-01-24T22:33:35.132+0000] {logging_mixin.py:190} INFO - Already preprocessed documents: set()
[2025-01-24T22:33:35.134+0000] {logging_mixin.py:190} INFO - Breaking down pdf 3106200_2024-11-26_7140.pdf into multiple PDF single pages
[2025-01-24T22:33:35.232+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-0-0.pdf already broken down into
[2025-01-24T22:33:35.233+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-1-1.pdf already broken down into
[2025-01-24T22:33:35.233+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-2-2.pdf already broken down into
[2025-01-24T22:33:35.233+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-3-3.pdf already broken down into
[2025-01-24T22:33:35.234+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-4-4.pdf already broken down into
[2025-01-24T22:33:35.234+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-5-5.pdf already broken down into
[2025-01-24T22:33:35.234+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-6-6.pdf already broken down into
[2025-01-24T22:33:35.235+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-7-7.pdf already broken down into
[2025-01-24T22:33:35.235+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-8-8.pdf already broken down into
[2025-01-24T22:33:35.235+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-9-9.pdf already broken down into
[2025-01-24T22:33:35.236+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-10-10.pdf already broken down into
[2025-01-24T22:33:35.236+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-11-11.pdf already broken down into
[2025-01-24T22:33:35.236+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-12-12.pdf already broken down into
[2025-01-24T22:33:35.237+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-13-13.pdf already broken down into
[2025-01-24T22:33:35.237+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-14-14.pdf already broken down into
[2025-01-24T22:33:35.237+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-15-15.pdf already broken down into
[2025-01-24T22:33:35.238+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-16-16.pdf already broken down into
[2025-01-24T22:33:35.238+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-17-17.pdf already broken down into
[2025-01-24T22:33:35.238+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-18-18.pdf already broken down into
[2025-01-24T22:33:35.238+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-19-19.pdf already broken down into
[2025-01-24T22:33:35.239+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-20-20.pdf already broken down into
[2025-01-24T22:33:35.239+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-21-21.pdf already broken down into
[2025-01-24T22:33:35.239+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-22-22.pdf already broken down into
[2025-01-24T22:33:35.240+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-23-23.pdf already broken down into
[2025-01-24T22:33:35.240+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-24-24.pdf already broken down into
[2025-01-24T22:33:35.240+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-25-25.pdf already broken down into
[2025-01-24T22:33:35.241+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-26-26.pdf already broken down into
[2025-01-24T22:33:35.241+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-27-27.pdf already broken down into
[2025-01-24T22:33:35.241+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-28-28.pdf already broken down into
[2025-01-24T22:33:35.242+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-29-29.pdf already broken down into
[2025-01-24T22:33:35.242+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-30-30.pdf already broken down into
[2025-01-24T22:33:35.242+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-31-31.pdf already broken down into
