[2025-01-24T22:27:11.210+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-24T22:27:11.226+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: pull_gazettes_data.preprocess_documents_task manual__2025-01-24T21:10:42.449118+00:00 [queued]>
[2025-01-24T22:27:11.233+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: pull_gazettes_data.preprocess_documents_task manual__2025-01-24T21:10:42.449118+00:00 [queued]>
[2025-01-24T22:27:11.234+0000] {taskinstance.py:2865} INFO - Starting attempt 15 of 16
[2025-01-24T22:27:11.247+0000] {taskinstance.py:2888} INFO - Executing <Task(PreprocessDocuments): preprocess_documents_task> on 2025-01-24 21:10:42.449118+00:00
[2025-01-24T22:27:11.260+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=3801) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-01-24T22:27:11.678+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-24-24.pdf already broken down into
[2025-01-24T22:27:11.678+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-25-25.pdf already broken down into
[2025-01-24T22:27:11.678+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-26-26.pdf already broken down into
[2025-01-24T22:27:11.679+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-27-27.pdf already broken down into
[2025-01-24T22:27:11.679+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-28-28.pdf already broken down into
[2025-01-24T22:27:11.679+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-29-29.pdf already broken down into
[2025-01-24T22:27:11.680+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-30-30.pdf already broken down into
[2025-01-24T22:27:11.680+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-31-31.pdf already broken down into
[2025-01-24T22:27:11.680+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-32-32.pdf already broken down into
[2025-01-24T22:27:11.681+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-33-33.pdf already broken down into
[2025-01-24T22:27:11.681+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-34-34.pdf already broken down into
[2025-01-24T22:27:11.682+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-35-35.pdf already broken down into
[2025-01-24T22:27:11.682+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-36-36.pdf already broken down into
[2025-01-24T22:27:11.683+0000] {logging_mixin.py:190} INFO - Breaking down pdf 3106200_2024-11-28_7142.pdf into multiple PDF single pages
[2025-01-24T22:27:11.838+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-0-0.pdf already broken down into
[2025-01-24T22:27:11.838+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-1-1.pdf already broken down into
[2025-01-24T22:27:11.839+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-2-2.pdf already broken down into
[2025-01-24T22:27:11.839+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-3-3.pdf already broken down into
[2025-01-24T22:27:11.840+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-4-4.pdf already broken down into
[2025-01-24T22:27:11.840+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-5-5.pdf already broken down into
[2025-01-24T22:27:11.840+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-6-6.pdf already broken down into
[2025-01-24T22:27:11.841+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-7-7.pdf already broken down into
[2025-01-24T22:27:11.841+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-8-8.pdf already broken down into
[2025-01-24T22:27:11.841+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-9-9.pdf already broken down into
[2025-01-24T22:27:11.842+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-10-10.pdf already broken down into
[2025-01-24T22:27:11.842+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-11-11.pdf already broken down into
[2025-01-24T22:27:11.842+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-12-12.pdf already broken down into
[2025-01-24T22:27:11.843+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-13-13.pdf already broken down into
[2025-01-24T22:27:11.843+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-14-14.pdf already broken down into
[2025-01-24T22:27:11.843+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-15-15.pdf already broken down into
[2025-01-24T22:27:11.844+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-16-16.pdf already broken down into
[2025-01-24T22:27:11.844+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-17-17.pdf already broken down into
[2025-01-24T22:27:11.844+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-18-18.pdf already broken down into
[2025-01-24T22:27:11.845+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-19-19.pdf already broken down into
[2025-01-24T22:27:11.845+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-20-20.pdf already broken down into
